,Titre,Company,Location,Salary,Summaries
159,Data Scientist,Winamax,Asnières-sur-Seine (92),33 000 € - 45 000 € par an,"Vous collaborerez avec des data scientist et des data manager.
Data scientist h/f lille ou similaire: 1 an (Souhaité).
Type d'emploi : Temps plein, CDI."
160,Data Scientist - Stage,EVERSA,Levallois-Perret (92),30 000 € - 40 000 € par an,"Participation in the creation and development of the group's product, especially algorithms using the richness of the data we collect (real-time behavioral data…"
161,Business & Web analyst (h/f) - Alternance,Equancy,Paris 9e (75),33 000 € - 45 000 € par an,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…"
162,Développeur Data/BI (H/F),AI & DATA,Rueil-Malmaison (92),45 000 € par an,"Nous recherchons un(e) développeur PHP / Symfony pour rejoindre notre team Open-Data, concevoir et développer les applications web Open Data telle que l…"
163,Alternant(e) Data Scientist H/F,Numberly,Paris (75),30 000 € - 45 000 € par an,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
164,CDI - Data Analyst Géomarketing Broadband F/H - Arcueil,OFFICE EXPERT,Nancy (54),30 000 € - 40 000 € par an,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
165,Analyste Développeur Éditique (H/F),Antilop,Nancy (54),25 000 € - 35 000 € par an,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
166,Business Developer – Stage de fin d’études – Juillet 2020,Bouygues Telecom,Nancy (54),45 000 € par an,"Pour accompagner notre croissance, nous recrutons un développeur / développeuse NodeJS..
Maitrise des outils du développeur de logiciels de type Git."
167,Développeur Front-End,ZAION,France,30 000 € - 40 000 € par an,Kel Foncier est l'application Web numéro 1 des développeurs fonciers en France offrant en 1 clic le potentiel constructible de chaque terrain et parcelle en…
168,Développeur NodeJS H/F,IT SERVICES SYSTEM,France,38 000 € par an,"Expérience de 2 à 5 ans dans un poste de développeur fullstack.
Wolters Kluwer est un leader mondial de l’information, des logiciels et des services."
169,Alternance - Data Scientist H/F,Malakoff Humanis,France,30 000 € - 45 000 € par an,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :"
170,Développeur PHP Data H/F,CCM Benchmark Group,France,25 000 € - 35 000 € par an,"Faire de la veille continue sur les meilleures pratiques de business intelligence.
Développer des tableaux de suivi et reporting clairs et qui répondent aux…"
171,Webmarketeur – Développeur multimédia h/f - Alternance,Groupe Kiosque,France,30 000 € - 40 000 € par an,"Etre en support des développeurs pour s’assurer de la bonne compréhension des évolutions.
Au sein du département Etudes et Projets, tu seras intégré(e) au sein…"
172,Développeur PHP e-commerce,Air Liquide,Grand Est,30 000 € - 40 000 € par an,"Réaliser des études statistiques approfondies pour saisir des opportunités business.
BforBank est la banque 100% en ligne du Groupe Crédit Agricole."
173,Data Scientist H/F,Ingeniance,Nancy (54),30 000 € - 40 000 € par an,"Expériences en web scraping, data cleaning, data preprocessing.
Tu as déjà réalisé un stage, de préférence en tant que data scientist/engineer/analyst."
